date,cpi_yoy,log_vol_smoothed,prob_high_regime,regime_label
2016-06-30,1.0792865347959424,-0.7292641,0.048204420665298876,low-vol
2016-07-31,0.8683633430518256,-0.8354949,0.052016529634950896,low-vol
2016-08-31,1.0553158595656864,-1.0646383,0.046683919711665356,low-vol
2016-09-30,1.5486446201652182,-1.3527471,0.03504640382378845,low-vol
2016-10-31,1.685924966243646,-1.5677155,0.02891912005438557,low-vol
2016-11-30,1.6843334719788938,-1.7295803,0.027771283176698178,low-vol
2016-12-31,2.0507989115119862,-1.7822168,0.03051907174556631,low-vol
2017-01-31,2.5103933482571117,-1.7436869,0.04171605721845706,low-vol
2017-02-28,2.8103616813294208,-1.7428157,0.05216189290383328,low-vol
2017-03-31,2.44119623655914,-2.0139515,0.04210137465406914,low-vol
