date,yoy,p_high
2014-03-31,1.6456609706435588,3.6930195279279435e-05
2014-04-30,1.8210555250137483,1.9937996107662777e-05
2014-05-31,1.9455269618362525,1.6024612075366195e-05
2014-06-30,1.9228626526676562,1.5868806774417835e-05
2014-07-31,1.8449632290063356,1.753321030018329e-05
2014-08-31,1.73639560289498,2.227176683007043e-05
2014-09-30,1.7409458883681284,2.2251352256227565e-05
2014-10-31,1.817632310436279,1.9339442354313633e-05
2014-11-30,1.7415947552462452,2.435598965382639e-05
2014-12-31,1.6224195046636636,3.7663750576400134e-05
2015-01-31,1.631625565241701,3.733438242438661e-05
2015-02-28,1.6880834938713285,2.922318811418334e-05
2015-03-31,1.7453777073428434,2.298289293203833e-05
2015-04-30,1.802827832894649,1.9593486755292465e-05
2015-05-31,1.7509440952473199,2.138612548271452e-05
2015-06-30,1.7772676244655061,1.9981241434309242e-05
2015-07-31,1.8346312894897077,1.765776360792112e-05
2015-08-31,1.8506323273421277,1.689213872532674e-05
2015-09-30,1.8970961446650891,1.5998124865203367e-05
2015-10-31,1.9135335359607986,1.5767220500425143e-05
2015-11-30,1.9974275238246353,1.600201359274885e-05
2015-12-31,2.0715072792840905,1.7820000147103845e-05
2016-01-31,2.145022538582464,2.169677970000907e-05
2016-02-29,2.222573822094165,2.7234091323460113e-05
2016-03-31,2.142426948557663,2.2394563376463508e-05
2016-04-30,2.156654761214183,2.3863468291748866e-05
2016-05-31,2.2545595974976074,3.3334797932646135e-05
2016-06-30,2.2622116465067066,3.488757825994836e-05
2016-07-31,2.1701399624842965,2.8178935119095822e-05
2016-08-31,2.3087345614186683,4.3451306655393706e-05
2016-09-30,2.271120682569183,3.816062076566824e-05
2016-10-31,2.2045551507991146,2.8341479392735847e-05
2016-11-30,2.1454219398053587,2.3122676095169013e-05
2016-12-31,2.197123661300271,2.678676331944233e-05
2017-01-31,2.2502092221020176,3.2370160744360995e-05
2017-02-28,2.2353468290497336,2.9585977633558284e-05
2017-03-31,2.045845481938735,1.8184157415400716e-05
2017-04-30,1.8965650108902388,1.691681204866424e-05
2017-05-31,1.7370931912259246,2.2817360745202148e-05
2017-06-30,1.6991193342490218,2.7112497579204504e-05
2017-07-31,1.6769627444729984,3.0714715133669016e-05
2017-08-31,1.6552412618799472,3.512799067385099e-05
2017-09-30,1.5953898457655935,4.18016480599606e-05
2017-10-31,1.7596390813271245,2.43259101472675e-05
2017-11-30,1.7376072726981162,2.2893953302365032e-05
2017-12-31,1.770166453265043,2.036158437474103e-05
2018-01-31,1.8912671130328462,1.654825027590892e-05
2018-02-28,1.87770420481439,1.6687550405694876e-05
2018-03-31,2.1227843662331214,1.995709186436313e-05
2018-04-30,2.150644636125887,2.3457753854530252e-05
2018-05-31,2.272998448872432,3.5663648857866404e-05
2018-06-30,2.245517307127032,3.437883506838921e-05
2018-07-31,2.267595293370639,3.469535037013047e-05
2018-08-31,2.1208941334864617,2.2443668531165063e-05
2018-09-30,2.1976804898501623,2.509566357788357e-05
2018-10-31,2.126409125691242,2.184124236661576e-05
2018-11-30,2.2153843729315836,2.8075898048830912e-05
2018-12-31,2.2485295505299874,3.1557883204737965e-05
2019-01-31,2.1794329242488475,2.497347367763661e-05
2019-02-28,2.1410889637129227,2.1193385475989723e-05
2019-03-31,2.06656235001228,1.7862067651212692e-05
2019-04-30,2.0913377235709074,1.798916372077761e-05
2019-05-31,1.97242800754438,1.6136673634136414e-05
2019-06-30,2.0746001344216447,1.845693212355787e-05
2019-07-31,2.1657049503490455,2.6283578480289833e-05
2019-08-31,2.321135673598529,5.0683743214260584e-05
2019-09-30,2.3300099083477743,6.066028562397129e-05
2019-10-31,2.3378148209658223,6.658898142993956e-05
2019-11-30,2.3546960942649298,7.068442236618898e-05
2019-12-31,2.2905988164406255,6.0692820605833916e-05
2020-01-31,2.2817391837892886,8.628610935034873e-05
2020-02-29,2.3676613601035346,0.00022477667894330792
2020-03-31,2.097741687598198,0.0005594103606109106
2020-04-30,1.4309324152566472,0.003538874140339926
2020-05-31,1.2184564692601985,0.007809423840178196
2020-06-30,1.1836841884912408,0.007944519994348882
2020-07-31,1.560695837131587,0.002572490041209985
2020-08-31,1.7223933878284248,0.000963949216732033
2020-09-30,1.7190644053436621,0.0009807305585972856
2020-10-31,1.6364116692455521,0.0026811901249949657
2020-11-30,1.6693780408814973,0.010907059750056002
2020-12-31,1.624313961356294,0.0556751541271156
2021-01-31,1.3763703714812836,0.2577857840438962
2021-02-28,1.280248344990098,0.45899675495512504
2021-03-31,1.6494791315614155,0.5479706657643245
2021-04-30,2.9780316542864504,0.9965818840703846
2021-05-31,3.7876961101984907,0.9999999999956661
2021-06-30,4.439362194328367,1.0
2021-07-31,4.210719214328185,1.0
2021-08-31,3.9396919775577244,0.9999999999999972
2021-09-30,4.002855729865806,0.9999999999999996
2021-10-31,4.590317334184912,1.0
2021-11-30,4.972572143965692,1.0
2021-12-31,5.488993530393094,1.0
2022-01-31,6.05428515424189,1.0
2022-02-28,6.4551151617656455,1.0
2022-03-31,6.482378554404167,1.0
2022-04-30,6.158737119052837,1.0
2022-05-31,6.0254478790408905,1.0
2022-06-30,5.906335651591377,1.0
2022-07-31,5.899916740834321,1.0
2022-08-31,6.286089097732228,1.0
2022-09-30,6.624287624509306,1.0
2022-10-31,6.294999786983246,1.0
2022-11-30,5.969880665899807,1.0
2022-12-31,5.685531944736666,1.0
2023-01-31,5.539533472591773,1.0
2023-02-28,5.498260329618088,1.0
2023-03-31,5.566741392671326,1.0
2023-04-30,5.514364195873522,1.0
