date,yoy,p_high
2014-09-30,1.5548480585553692,4.337645874874898e-06
2014-10-31,1.4709143321753215,4.987541079916626e-06
2014-11-30,1.392578536791067,6.49637751174256e-06
2014-12-31,1.3563462895293865,8.864587456141202e-06
2015-01-31,1.2097113523521053,1.7350173906902583e-05
2015-02-28,1.2774816263445121,1.3759022750364198e-05
2015-03-31,1.2808398950131306,1.2743615242818957e-05
2015-04-30,1.2943728841981805,1.250719663018366e-05
2015-05-31,1.2472011216439594,1.6166108675163897e-05
2015-06-30,1.254154386404971,1.8563819000512616e-05
2015-07-31,1.1789500041732737,2.721001700084069e-05
2015-08-31,1.2212546279397163,2.4057490736143755e-05
2015-09-30,1.2321248164310905,2.3759152602338983e-05
2015-10-31,1.1779886779886617,3.041877217525107e-05
2015-11-30,1.1967020513407034,2.8065250568361903e-05
2015-12-31,1.191700692994213,2.3146824967211295e-05
2016-01-31,1.4062402560957699,8.082622989354414e-06
2016-02-29,1.4658859681907055,5.290038284388178e-06
2016-03-31,1.4574479112677619,5.006483418538096e-06
2016-04-30,1.5199486797450534,4.4654037255627e-06
2016-05-31,1.5687328193787042,4.254322865976355e-06
2016-06-30,1.5524039553270974,4.2665221503006355e-06
2016-07-31,1.5993318072140106,4.263916286112753e-06
2016-08-31,1.6969584569733076,4.688114592916478e-06
2016-09-30,1.6852545372237682,4.763536082019904e-06
2016-10-31,1.7824083597317797,5.903370645344583e-06
2016-11-30,1.7188591624542893,5.238246804929689e-06
2016-12-31,1.770093227647962,6.204845952662915e-06
2017-01-31,1.863334939067518,8.863899837281312e-06
2017-02-28,1.867275108455435,8.807468515897332e-06
2017-03-31,1.6786546242183897,4.984869375501083e-06
2017-04-30,1.6368213459441172,4.3712930868835795e-06
2017-05-31,1.545521142810613,4.297574495046806e-06
2017-06-30,1.5764438029800987,4.2610715453677065e-06
2017-07-31,1.5031107592688553,4.596857254309678e-06
2017-08-31,1.433593710424197,5.32974998097384e-06
2017-09-30,1.4225873687192525,5.450489757336839e-06
2017-10-31,1.5410111053849596,4.424178346098099e-06
2017-11-30,1.5453764961365524,4.300947162674556e-06
2017-12-31,1.5768765133171936,4.237603340175836e-06
2018-01-31,1.6320370277204788,4.3587660649030746e-06
2018-02-28,1.6442181175359671,5.073015091749551e-06
2018-03-31,1.909183171052753,1.165003507111447e-05
2018-04-30,1.8842192874261698,1.3311897564380989e-05
2018-05-31,1.9809023776840462,2.1716339755204256e-05
2018-06-30,1.9362198184856405,2.038444883355779e-05
2018-07-31,1.9958004199579937,2.460224638937528e-05
2018-08-31,1.8957629996604108,1.632610161504496e-05
2018-09-30,1.9602952913008842,1.9059925418158525e-05
2018-10-31,1.8709073900841755,1.599732025394488e-05
2018-11-30,2.0102451882429095,3.1083248704685115e-05
2018-12-31,2.0380799141860972,3.391084632069135e-05
2019-01-31,1.844426623897344,1.2147104883465849e-05
2019-02-28,1.7441056147354805,6.066530029536492e-06
2019-03-31,1.61606799514884,4.425377740850957e-06
2019-04-30,1.6367788035668518,4.3116451767501475e-06
2019-05-31,1.563175476517964,4.260795586224254e-06
