date,log_cpi_x100,level_smoothed,log_vol_smoothed,prob_high_regime
2013-09-01,545.3370496187798,545.3262,1.7978591,0.0009200067885553938
2013-10-01,545.3905584051288,545.4331,1.865137,0.0009689183780760766
2013-11-01,545.5748374496866,545.5844,1.8746002,0.0009216204227340275
2013-12-01,545.8389053990231,545.8063,2.4904451,0.0009266513901906654
2014-01-01,546.0810295707806,546.067,2.0813882,0.0009204589507429339
2014-02-01,546.1910468915507,546.2388,2.491641,0.0009521860527723568
2014-03-01,546.3950442055756,546.3802,2.6031566,0.0009390299502005748
2014-04-01,546.5812892223319,546.50165,2.8347878,0.0010263947960320772
2014-05-01,546.771408970506,546.834,2.6198719,0.0010709400298013624
2014-06-01,546.9034349983856,546.77527,2.5930293,0.001284388144846335
2014-07-01,547.0159202386607,546.9724,2.5473354,0.0010794160450880352
2014-08-01,546.9999188237647,547.1482,3.0462732,0.0012162615519720164
2014-09-01,547.0070776679934,547.05963,3.213678,0.0010066841375235744
2014-10-01,546.987284318915,547.03925,3.1883647,0.0009872787926169563
2014-11-01,546.7988408604609,546.64435,3.8408375,0.0011027921452292583
2014-12-01,546.4899031946485,546.3564,3.9448962,0.0012135102431724768
2015-01-01,545.8508338453997,546.24976,4.1675415,0.0017896717437790874
2015-02-01,546.1039775342496,546.3134,4.8033557,0.0012444283575310743
2015-03-01,546.3730104939077,546.6129,4.4719315,0.001215105129468893
2015-04-01,546.4772040831459,546.6523,3.3246596,0.0012756001011817622
2015-05-01,546.8064360535512,546.7792,3.3047235,0.0010441535699563915
2015-06-01,547.0828457707228,546.96924,3.3295016,0.0011961493751505286
2015-07-01,547.2413520611223,547.08826,2.4115858,0.0016316814943385877
2015-08-01,547.2409319521879,547.18994,2.3892057,0.0011894571503365922
2015-09-01,547.0159202386607,547.1293,2.4121757,0.0012684677442539789
2015-10-01,547.1148195188653,547.1119,2.4836931,0.0009868835964694882
2015-11-01,547.2342099692004,547.1883,2.5729406,0.0009625112337680724
2015-12-01,547.1265967442488,547.16125,2.4459808,0.0009511457848885631
2016-01-01,547.0807418762035,547.05237,2.6190064,0.000981403889269236
2016-02-01,546.9476858635799,547.0563,2.4416125,0.001189071431093637
2016-03-01,547.2606751644727,547.2907,1.7862722,0.0010152762576248074
2016-04-01,547.6430078567937,547.5952,2.3363576,0.0010103769628622382
2016-05-01,547.8791384359091,547.9394,1.9879299,0.0010843661335112656
2016-06-01,548.1563495793126,548.0945,1.9926096,0.0011244413948587962
2016-07-01,548.1059668149813,548.1916,2.4350276,0.0011999058718310228
2016-08-01,548.2907182229998,548.39984,2.6937003,0.0013505249954438403
2016-09-01,548.5526957414767,548.21857,4.0696692,0.0017146755231808254
2016-10-01,548.7866905098523,548.4226,4.457206,0.001555609406318698
2016-11-01,548.9045158402165,549.0163,4.011799,0.0011009377295377743
2016-12-01,549.1566499307847,549.0988,3.6927629,0.0009679096708693881
2017-01-01,549.5601424731506,549.6201,3.3683276,0.000946698952557918
2017-02-01,549.7192815154804,549.7151,3.1359136,0.0009336026376055192
2017-03-01,549.6725504355929,549.5949,2.5578084,0.0010218805126808112
2017-04-01,549.795889623709,549.8229,1.8511459,0.0009536679358682496
2017-05-01,549.7184618601453,549.7093,1.2772893,0.0009235797444897007
2017-06-01,549.7836035045509,549.7644,2.251524,0.0009415586909602861
2017-07-01,549.8163631351514,549.8706,1.7809244,0.0010438173934624235
2017-08-01,550.2004870500302,550.16,1.5428334,0.0010138861105620728
2017-09-01,550.709826702641,550.702,1.7908193,0.0009319575681009348
2017-10-01,550.7873019073535,550.7642,2.2275803,0.0009366902804297932
2017-11-01,551.0537473687855,551.0974,1.8076453,0.0009915704751189349
2017-12-01,551.2642146554028,551.225,2.0836828,0.0009763816789619791
2018-01-01,551.6886471015856,551.7257,2.6971388,0.0009795104228942477
2018-02-01,551.9575140902034,551.90643,2.6744668,0.0011167094584337994
2018-03-01,551.976748481354,552.17084,2.817522,0.0016733027071322976
2018-04-01,552.2368505879615,552.1486,2.5851786,0.0012274349058857587
2018-05-01,552.4623910323381,552.42175,2.6894472,0.0009959072335748856
2018-06-01,552.5524649707929,552.5492,2.34304,0.0009252771527845396
2018-07-01,552.6305165525123,552.6412,2.1119974,0.0009314757344103514
2018-08-01,552.8090890938355,552.84973,1.4529513,0.0010192452392817869
2018-09-01,553.015104905668,553.0068,1.4386224,0.0010306717831614581
2018-10-01,553.2487896644745,553.1486,1.8052512,0.0014060083148728659
2018-11-01,553.1783456665163,553.24036,2.4090445,0.0010978518033773084
2018-12-01,553.2468115777195,553.2799,2.5011103,0.0009636692349797494
2019-01-01,553.1652803697076,553.183,2.3777971,0.0009226936473786791
2019-02-01,553.4649564064249,553.4542,1.7309916,0.0009213645859758034
2019-03-01,553.8424223980678,553.80664,1.5629878,0.0009649444531483088
2019-04-01,554.2176853455601,554.21625,1.8247085,0.0009143895603535481
2019-05-01,554.2423656282941,554.2271,2.0605936,0.0009095274296812105
2019-06-01,554.2098490612086,554.21674,2.3873546,0.0009052998617461786
2019-07-01,554.4403707722464,554.4533,1.2920821,0.0009157226691118686
2019-08-01,554.5318059592794,554.5546,1.7426407,0.0009277506369077586
2019-09-01,554.6855722882189,554.65814,2.0206149,0.0009286362413531628
2019-10-01,554.9679015936231,554.96075,2.5063622,0.0009118970843580777
2019-11-01,555.2490482662294,555.2131,2.498264,0.0009293957617176389
2019-12-01,555.5398468889944,555.5085,2.9074528,0.0009244328622580179
2020-01-01,555.731828900884,555.7171,2.9516191,0.0009381444564682064
2020-02-01,555.7792847109637,555.6761,2.9627278,0.0010556024988592724
2020-03-01,555.3254115186731,555.3481,2.9941413,0.001010927394681118
2020-04-01,554.5302436667713,554.51263,2.42554,0.0012613301271915045
2020-05-01,554.4403707722464,554.70306,2.8451104,0.002537617870872514
2020-06-01,554.9239495667466,554.9513,2.1223083,0.0013014413701754727
2020-07-01,555.4322996139265,555.3885,1.4823543,0.001102305161970849
