date,cpi_yoy,level_smoothed,log_vol_smoothed,prob_high_regime,regime_label
2016-07-31,0.8683633430518256,0.87151796,-3.0890222,0.00015461150769076305,low-vol
2016-08-31,1.0553158595656864,1.053318,-3.1713293,0.00015203070033445833,low-vol
2016-09-30,1.5486446201652182,1.5481747,-2.9997823,0.00015003476881058337,low-vol
2016-10-31,1.685924966243646,1.684902,-3.1689065,0.00015041752618902418,low-vol
2016-11-30,1.6843334719788938,1.682764,-2.9940202,0.0001509380014561115,low-vol
2016-12-31,2.0507989115119862,2.0522025,-3.0382342,0.00015075939955863825,low-vol
2017-01-31,2.5103933482571117,2.5099304,-3.0494654,0.0001500039122038438,low-vol
2017-02-28,2.8103616813294208,2.8117433,-3.029678,0.00015069298082670259,low-vol
2017-03-31,2.44119623655914,2.441,-2.9702168,0.0001499630375158777,low-vol
2017-04-30,2.176223471915395,2.1738806,-2.8461726,0.00015193196398702465,low-vol
2017-05-31,1.8563431667619756,1.8586538,-2.6010804,0.00015211307247326494,low-vol
2017-06-30,1.640565809959127,1.6322906,-2.4039965,0.0001700765088687999,low-vol
2017-07-31,1.7251073506566073,1.745336,-2.087372,0.00024108078984808281,low-vol
2017-08-31,1.92812155729698,1.9143866,-2.0262835,0.00018824021943397145,low-vol
2017-09-30,2.1805652303711787,2.1686664,-2.278997,0.00018481092940899176,low-vol
2017-10-31,2.020757753132485,2.0322628,-2.3449907,0.00018348784151112687,low-vol
2017-11-30,2.172493864295566,2.1686053,-2.5025575,0.00015493332731296525,low-vol
2017-12-31,2.129930719552253,2.130647,-2.7322273,0.00015023980040713793,low-vol
2018-01-31,2.151318868063945,2.1525886,-2.8785899,0.0001515369787625307,low-vol
2018-02-28,2.263468931091861,2.255028,-2.9677916,0.00018223497934860474,low-vol
2018-03-31,2.3309497646499366,2.3290787,-3.02305,0.0001535676208800104,low-vol
2018-04-30,2.4709963021052994,2.479447,-2.9834373,0.00018339116031093175,low-vol
2018-05-31,2.781921607842497,2.77679,-3.1409302,0.00016444858209813394,low-vol
2018-06-30,2.8075506935940187,2.8069332,-3.4027681,0.00015062166531888338,low-vol
2018-07-31,2.854124785561929,2.852702,-3.513717,0.00015132952247198358,low-vol
2018-08-31,2.6429238568742575,2.6425555,-3.589887,0.00015033801988168443,low-vol
2018-09-30,2.332055105808828,2.3355477,-3.6224802,0.00016002813023083636,low-vol
2018-10-31,2.492032470218053,2.4891496,-3.603211,0.00015676700941638001,low-vol
2018-11-30,2.147328577667773,2.1471252,-3.6362927,0.00015011653296722257,low-vol
2018-12-31,2.0023809043401064,2.0027895,-3.482428,0.00015000382532235007,low-vol
2019-01-31,1.4875893578291333,1.4884433,-3.3449214,0.00015075148010342408,low-vol
2019-02-28,1.5188615351321877,1.5144128,-3.461259,0.0001637995066815944,low-vol
2019-03-31,1.8831863513063984,1.8842437,-3.673121,0.00015124651914366275,low-vol
2019-04-30,2.000583470209061,2.000306,-3.6986976,0.00015001148768725413,low-vol
2019-05-31,1.7959105553606136,1.7969204,-3.6453629,0.0001513397284595423,low-vol
2019-06-30,1.671194894390049,1.675834,-3.7146277,0.00016981090213996514,low-vol
2019-07-31,1.826331335037068,1.8245748,-3.6759436,0.0001532570269581471,low-vol
2019-08-31,1.7376412106666406,1.7353436,-3.6809635,0.00015445079535406227,low-vol
2019-09-30,1.6844977040391562,1.6843965,-3.752736,0.00015021252330561685,low-vol
2019-10-31,1.7339736996186295,1.7365593,-3.728583,0.00015596120937719305,low-vol
2019-11-30,2.092290394862917,2.0903275,-3.710177,0.0001536390231526893,low-vol
2019-12-31,2.3195274699624457,2.3222544,-3.7157743,0.00015681814134193574,low-vol
2020-01-31,2.599767976845202,2.596984,-3.820878,0.00015773057040673063,low-vol
2020-02-29,2.3413166797595197,2.341394,-3.9149358,0.00015012782728407537,low-vol
2020-03-31,1.4940399642909163,1.4935448,-4.1040316,0.0001501975883145666,low-vol
2020-04-30,0.3130472940411133,0.31241047,-4.326981,0.00015059602913210476,low-vol
2020-05-31,0.1982013035848551,0.19944102,-4.347025,0.00015246076206135617,low-vol
