origin,horizon_months,horizon_days_label,target_date,point,lo80,hi80,lo95,hi95,actual,error_pp,in_80,in_95,width80_pp,width95_pp,sigma_low,sigma_high,p_high_at_origin
2019-07-31,3,90,2019-10-31,1.864149789503351,1.2638683986836825,2.453025207488998,0.979254378660346,2.702000280036111,1.564772,0.2993777895033509,True,True,1.1891568088053157,1.722745901375765,1.1459307670593262,3.1284899711608887,0.03396104241848655
2019-10-31,1,30,2019-11-30,1.5457644331941198,1.2119529619278189,1.8550196930303913,1.0574637209023565,2.016212609066826,1.817086,-0.27132156680588015,True,True,0.6430667311025724,0.9587488881644697,0.3085406422615051,1.708886742591858,0.01007634011847057
2019-10-31,3,90,2020-01-31,1.5546675541209114,0.9668408980578125,2.149596456630799,0.6310644904405565,2.476528153661117,2.084509,-0.5298414458790888,True,True,1.1827555585729863,1.8454636632205603,0.3085406422615051,1.708886742591858,0.01007634011847057
2020-01-31,1,30,2020-02-29,2.0630378988416953,1.7426031304142557,2.4024510964741017,1.5760229288794099,2.5833706439997397,2.113084,-0.05004610115830488,True,True,0.659847966059846,1.0073477151203298,0.09540284425020218,4.141368865966797,0.0009396759634837166
2020-01-31,3,90,2020-04-30,2.049504166502543,1.4695044558918562,2.735953869102267,1.1350443785390592,3.0035376107751772,-0.387127,2.436631166502543,False,False,1.2664494132104107,1.868493232236118,0.09540284425020218,4.141368865966797,0.0009396759634837166
2020-04-30,1,30,2020-05-31,1.6212917047377733,-0.14029017756205836,3.514237654398814,-1.9743441786254559,5.683215542651847,-0.574061,2.195352704737773,False,True,3.654527831960872,7.657559721277303,0.2714499533176422,1.8536605834960938,0.9999999787620293
2020-04-30,3,90,2020-07-31,1.719127833314991,0.10621159178488342,3.6155263024874933,-2.4390285304802064,5.711830353145138,0.931351,0.787776833314991,True,True,3.50931471070261,8.150858883625345,0.2714499533176422,1.8536605834960938,0.9999999787620293
2020-07-31,1,30,2020-08-31,1.1557491390669385,-0.749339138672175,3.490580810484544,-2.6899240615614253,5.83433891098516,1.531062,-0.3753128609330614,True,True,4.239919949156719,8.524262972546586,2.8462443351745605,3.052701950073242,0.3818514504496961
2020-07-31,3,90,2020-10-31,1.3087054654436572,-0.8320708055534132,4.108194535769006,-3.6920025496087483,9.142442086644289,1.218635,0.09007046544365727,True,True,4.940265341322419,12.834444636253037,2.8462443351745605,3.052701950073242,0.3818514504496961
2020-10-31,1,30,2020-11-30,1.2322722689242425,0.744439983457726,1.7439938692611228,0.29606605052024326,2.177066012966305,1.433213,-0.2009407310757576,True,True,0.9995538858033968,1.8809999624460616,0.28457483649253845,0.5404208898544312,0.0928987019311582
2020-10-31,3,90,2021-01-31,1.2274650727913028,0.4634857843628696,2.0534732704742718,-0.2968043651968593,2.6648488917945783,1.677282,-0.44981692720869715,True,True,1.589987486111402,2.9616532569914376,0.28457483649253845,0.5404208898544312,0.0928987019311582
2021-01-31,1,30,2021-02-28,1.6547398998319491,1.2169239701908157,2.152961884816894,0.30201922228173134,2.608086516337181,2.520432,-0.8656921001680509,False,True,0.9360379146260782,2.30606729405545,0.4469847083091736,1.5660675764083862,0.027052986222319095
2021-01-31,3,90,2021-04-30,1.651764519295381,0.9238846400738369,2.4095836383794813,0.2463903087286169,3.2568533766639884,6.874849,-5.223084480704619,False,False,1.4856989983056446,3.0104630679353717,0.4469847083091736,1.5660675764083862,0.027052986222319095
2021-04-30,1,30,2021-05-31,1.622490155679774,-3.157983498882039,6.473436621428592,-8.25618450625546,11.375955870421356,7.793589,-6.171098844320226,False,True,9.631420120310631,19.632140376676816,0.6805774569511414,2.1841888427734375,0.6486450911374606
2021-04-30,3,90,2021-07-31,1.9102899367006243,-2.8151420773622187,6.043684276249737,-9.372540537975015,13.995689737642476,7.131225,-5.220935063299375,False,True,8.858826353611956,23.368230275617492,0.6805774569511414,2.1841888427734375,0.6486450911374606
