origin,horizon_days_label,target_date,actual,p1_point,point,hybrid_point,shift,lo80_hyb,hi80_hyb,lo95_hyb,hi95_hyb,hyb_error_pp,hyb_in_80,hyb_in_95,hyb_width80,hyb_width95
2020-07-31,90,2020-10-31,1.218635,1.5656222951751262,1.3087054654436572,1.5656222951751262,0.256916829731469,-0.5751539758219442,4.365111365500475,-3.4350857198772786,9.399358916375757,0.3469872951751263,True,True,4.940265341322419,12.834444636253036
2020-10-31,30,2020-11-30,1.433213,1.2859898874179363,1.2322722689242425,1.2859898874179363,0.05371761849369383,0.7981576019514198,1.7977114877548166,0.34978366901393704,2.2307836314599987,-0.14722311258206378,True,True,0.9995538858033968,1.8809999624460616
2020-10-31,90,2021-01-31,1.677282,0.8430155770496981,1.2274650727913028,0.8430155770496981,-0.3844494957416047,0.07903628862126488,1.6690237747326675,-0.681253860938464,2.2803993960529736,-0.8342664229503018,False,True,1.5899874861114025,2.9616532569914376
2021-01-31,30,2021-02-28,2.520432,1.7064103067274328,1.6547398998319491,1.7064103067274328,0.051670406895483634,1.2685943770862993,2.2046322917123775,0.3536896291772149,2.6597569232326648,-0.8140216932725672,False,True,0.9360379146260782,2.30606729405545
2021-01-31,90,2021-04-30,6.874849,3.6713470749784016,1.651764519295381,3.6713470749784016,2.0195825556830207,2.9434671957568574,4.429166194062502,2.2659728644116375,5.27643593234701,-3.2035019250215986,False,False,1.4856989983056441,3.010463067935372
2021-04-30,30,2021-05-31,7.793589,8.398406505471796,1.622490155679774,8.398406505471796,6.775916349792022,3.6179328509099826,13.249352971220613,-1.4802681564634383,18.151872220213377,0.6048175054717957,True,True,9.631420120310631,19.632140376676816
2021-04-30,90,2021-07-31,7.131225,9.7006479931885,1.9102899367006243,9.7006479931885,7.790358056487876,4.975215979125657,13.834042332737614,-1.5821824814871404,21.78604779413035,2.5694229931885006,True,True,8.858826353611956,23.368230275617492
2021-07-31,30,2021-08-31,7.145263,6.721283399185599,2.0638331392240827,6.721283399185599,4.657450259961516,0.9705075719679064,13.423210207542315,-5.377430134080257,17.960640423734155,-0.423979600814401,True,True,12.452702635574408,23.33807055781441
2021-07-31,90,2021-10-31,9.451212,7.255021416133237,2.3483054865424444,7.255021416133237,4.906715929590793,2.0041443842092312,12.06809869072027,-3.577566244384067,19.084687895990868,-2.1961905838667626,True,True,10.063954306511038,22.662254140374934
2021-10-31,30,2021-11-30,10.071649,9.82660836960664,2.0208165835824348,9.82660836960664,7.805791786024206,-3.7972074038472856,26.71119090441784,-60.1516225261397,48.56455041565412,-0.2450406303933601,True,True,30.508398308265125,108.71617294179381
2021-10-31,90,2022-01-31,10.830843,9.809468368556221,2.9848708935623316,9.809468368556221,6.824597474993889,-5.112539222860698,30.848856414717226,-73.1874366977507,100.57788221129694,-1.0213746314437788,True,True,35.96139563757792,173.76531890904764
2022-01-31,30,2022-02-28,10.833073,8.760711401627827,1.5749262018762868,8.760711401627827,7.18578519975154,-6.693224436220077,21.66686314944482,-26.95772441887925,40.585186185466476,-2.072361598372174,True,True,28.360087585664896,67.54291060434572
2022-01-31,90,2022-04-30,10.608066,6.304731518804005,2.6065247381455334,6.304731518804005,3.698206780658472,-4.377349194249344,17.484890378773862,-30.9588848455247,38.53053647296564,-4.3033344811959955,True,True,21.862239573023206,69.48942131849034
2022-04-30,30,2022-05-31,11.018533,10.78555282819473,2.308258910257895,10.78555282819473,8.477293917936834,-2.739828105073375,24.113952191811574,-22.051230710133737,41.84246537345175,-0.23298017180526998,True,True,26.85378029688495,63.89369608358549
2022-04-30,90,2022-07-31,10.652051,11.68022606054879,3.3015927734218,11.68022606054879,8.378633287126991,-6.673735067336301,29.087606122934663,-41.73004630471726,59.896678722832476,1.02817506054879,True,True,35.76134119027096,101.62672502754974
2022-07-31,30,2022-08-31,9.843255,9.732052518368167,11.071191725064493,9.732052518368167,-1.3391392066963252,9.01391723854147,10.388067551548977,8.47543101043249,10.877852847078135,-0.11120248163183177,True,True,1.3741503130075063,2.402421836645644
2022-07-31,90,2022-10-31,8.26068,7.193576189227651,11.077496658655946,7.193576189227651,-3.883920469428295,6.215451253440085,8.244027981979304,5.517675027968469,9.482633851365756,-1.06710381077235,False,True,2.0285767285392193,3.9649588233972874
2022-10-31,30,2022-11-30,7.484962,7.846608635390908,8.586408937018398,7.846608635390908,-0.7398003016274899,7.133609418361267,9.56575465646735,6.626935858613167,11.304961730286559,0.36164663539090736,True,True,2.4321452381060826,4.678025871673392
2022-10-31,90,2023-01-31,6.120258,6.667169763336591,8.700257181796168,6.667169763336591,-2.0330874184595773,5.49618675143605,8.680288352892607,4.586735474885631,10.614945120993188,0.546911763336591,True,True,3.1841016014565566,6.028209646107556
