origin,target,pred,lo80,hi80,lo95,hi95,today,actual,error,naive_error,pred_up,actual_up
2026-02-14,2026-02-15,0.7040959785924624,0.5695920519068765,0.7609973080874417,0.4523577153576703,0.7659922575252827,0.694146,0.958936,-0.2548400214075376,-0.26478999999999997,True,True
2026-02-15,2026-02-16,0.9681391357073346,0.8351862152222805,1.0268473878480253,0.7179009021778489,1.0914429931449658,0.958936,0.943762,0.024377135707334574,0.01517400000000002,True,False
2026-02-16,2026-02-17,0.9538726414575597,0.8199176530006661,1.0115612413651507,0.7025873866565967,1.0763204072326997,0.943762,0.901152,0.052720641457559725,0.04261000000000004,True,False
2026-02-17,2026-02-18,0.9176879717686616,0.7825010826381886,0.9741186737891406,0.6651178633124128,1.0390796151121988,0.901152,0.866517,0.05117097176866159,0.03463499999999997,True,False
2026-02-18,2026-02-19,0.8838326127400189,0.7481769962625018,0.9398489949277405,0.63077245426963,1.0048220780021415,0.866517,0.919413,-0.03558038725998114,-0.052896000000000054,True,True
2026-02-19,2026-02-20,0.9374982766876294,0.8042232102843051,0.9958810429843397,0.6869283313285042,1.060529067472409,0.919413,0.939475,-0.001976723312370532,-0.020061999999999913,True,True
2026-02-20,2026-02-21,0.9563463801453491,0.8243147854041877,1.016003890621866,0.7070718684354778,1.0804497170421774,0.939475,0.97292,-0.01657361985465089,-0.03344500000000006,True,True
2026-02-21,2026-02-22,0.9836190773455684,0.9261777403646975,1.048523981520715,0.752525250004026,1.112807937585809,0.97292,1.017931,-0.034311922654431504,-0.04501099999999991,True,True
2026-02-22,2026-02-23,1.0284494495409184,0.9709426676576609,1.0932883303910375,0.7972890741633869,1.1575706313855065,1.017931,1.07064,-0.0421905504590816,-0.05270900000000012,True,True
2026-02-23,2026-02-24,1.0796281213186678,1.022724374473356,1.1450757110036516,0.8490815015551542,1.209374606683694,1.07064,0.952011,0.12761712131866776,0.11862899999999998,True,False
2026-02-24,2026-02-25,1.0403853528300775,0.9192989649364989,1.1060236914147843,0.810030956925124,1.1703274989122734,0.952011,0.939415,0.10097035283007749,0.012596000000000052,True,False
2026-02-25,2026-02-26,1.0277796932944365,0.906725638485123,1.0934509707522788,0.797458583183829,1.157755745527253,0.939415,1.352694,-0.32491430670556354,-0.41327900000000006,True,True
2026-02-26,2026-02-27,1.451739461929934,1.3314114044934915,1.5203340011495365,1.222165711084655,1.7331111565824255,1.352694,1.410473,0.041266461929933884,-0.057779000000000025,True,True
2026-02-27,2026-02-28,1.5073692012574254,1.3877457545443057,1.5766935288301351,1.2785225840950294,1.7896849419058787,1.410473,1.490284,0.01708520125742541,-0.07981099999999985,True,True
2026-02-28,2026-03-01,1.5835558811402546,1.4623741106557673,1.6512499204059814,1.3531030343997967,1.8637281827314591,1.490284,0.778398,0.8051578811402545,0.7118859999999999,True,False
2026-03-01,2026-03-02,0.8796115731803209,0.7479243046826893,0.9474438021947448,0.37786907872561226,1.1599655172554337,0.778398,0.789225,0.09038657318032095,-0.01082699999999992,True,True
2026-03-02,2026-03-03,0.8904826594459099,0.7587889746526771,0.9583094629179129,0.38873317008630837,1.1708295580044064,0.789225,0.861959,0.028523659445909844,-0.07273400000000008,True,True
2026-03-03,2026-03-04,0.9442325149833444,0.8314962785440009,1.0205257672764974,0.6099118325706134,1.235674667408993,0.861959,0.932479,0.011753514983344426,-0.07051999999999992,True,True
2026-03-04,2026-03-05,1.0184920626303373,0.9038573599532925,1.090668240316029,0.6813646892692978,1.3070594247785183,0.932479,0.964107,0.054385062630337266,-0.0316280000000001,True,True
2026-03-05,2026-03-06,1.0589740006499095,0.9438014145210403,1.1305884216092312,0.7210844773367817,1.3467393781195225,0.964107,1.017635,0.041339000649909474,-0.05352800000000002,True,True
2026-03-06,2026-03-07,1.1115138374180369,0.9972343699012653,1.1840585730626594,0.7748765832543212,1.4005936567699666,1.017635,0.867864,0.24364983741803692,0.1497710000000001,True,False
2026-03-07,2026-03-08,0.9685764160464849,0.8435940768835611,1.0300691489294262,0.5706010048762253,1.2554771418253858,0.867864,0.922152,0.04642441604648495,-0.054288,True,True
2026-03-08,2026-03-09,1.0231948840509844,0.8981089835720389,1.0845604500679888,0.6250150290189416,1.3099534198422023,0.922152,0.975609,0.047585884050984406,-0.05345699999999998,True,True
2026-03-09,2026-03-10,1.0740620992255372,0.9512152297793041,1.1382209253640556,0.6805034452941243,1.363985988174111,0.975609,1.037872,0.03619009922553729,-0.06226299999999996,True,True
2026-03-10,2026-03-11,1.1295514291693758,1.0457143558235678,1.1979016661695583,0.7431896514429437,1.4240798697951438,1.037872,1.080083,0.04946842916937588,-0.042211,True,True
2026-03-11,2026-03-12,1.173550421533292,1.0882159932408995,1.2410962973648765,0.7855187292940959,1.4670973880104046,1.080083,1.211546,-0.03799557846670809,-0.1314630000000001,True,True
2026-03-12,2026-03-13,1.3100476144619921,1.2208482271033596,1.3673066560273446,0.9177000408313716,1.6010586261945887,1.211546,1.474892,-0.16484438553800795,-0.2633460000000001,True,True
2026-03-13,2026-03-14,1.5836419791601655,1.491431744862302,1.6496642300796212,1.1880030470348433,1.872663652281363,1.474892,1.511437,0.07220497916016555,-0.03654499999999983,True,True
2026-03-14,2026-03-15,1.619053531761403,1.527627016834345,1.6854016771880656,1.224277988122245,1.9085885577540167,1.511437,1.494597,0.12445653176140303,0.016839999999999966,True,False
2026-03-15,2026-03-16,1.601351649494105,1.4831077297021784,1.6681354801469908,1.2077432215961867,1.891525663498847,1.494597,1.538741,0.062610649494105,-0.04414399999999996,True,True
2026-03-16,2026-03-17,1.645421099657002,1.5274962919886432,1.7125407916528899,1.2527586159939696,1.936104188914415,1.538741,1.516106,0.12931509965700205,0.02263499999999996,True,False
2026-03-17,2026-03-18,1.6384097353841451,1.5007809850502682,1.68761484968251,1.2308621309148569,1.836005770525585,1.516106,1.514131,0.12427873538414524,0.00197500000000006,True,False
2026-03-18,2026-03-19,1.6367728555583687,1.4998383821921848,1.6861412520538266,1.2299521619590372,1.835071962870505,1.514131,1.615951,0.020821855558368796,-0.10182000000000002,True,True
2026-03-19,2026-03-20,1.737993453889504,1.6029666365511797,1.78780649383832,1.3331749674487137,1.9382277973940012,1.615951,1.653255,0.08473845388950418,-0.037304000000000004,True,True
2026-03-20,2026-03-21,1.776223661696666,1.6411481368937968,1.8277956431570797,1.3713310525096225,1.9765732907559264,1.653255,1.702965,0.07325866169666595,-0.04971000000000014,True,True
2026-03-21,2026-03-22,1.8255014284005324,1.6904498197831173,1.8670057141554914,1.4206689965798769,2.025630380081109,1.702965,1.736754,0.08874742840053251,-0.03378899999999985,True,True
2026-03-22,2026-03-23,1.8595478397726617,1.7244931511128623,1.900305810657878,1.4547374031181985,2.0596134744202246,1.736754,1.734116,0.1254318397726617,0.002637999999999918,True,False
2026-03-23,2026-03-24,1.8570367354390647,1.7219783742216592,1.8965054021506724,1.4522680779603956,2.056995964005198,1.734116,1.73668,0.12035673543906467,-0.0025640000000000107,True,True
2026-03-24,2026-03-25,1.8598310537016152,1.72480263504846,1.8828148967256775,1.4551501548767174,2.0596832788292136,1.73668,1.680285,0.17954605370161514,0.05639499999999997,True,False
2026-03-25,2026-03-26,1.8022289879814024,1.657226020709437,1.7895381440071136,1.3976940435197167,2.0020081762718336,1.680285,1.773699,0.028529987981402494,-0.09341399999999989,True,True
2026-03-26,2026-03-27,1.9054793219441006,1.7600464508014126,1.8923848321862091,1.5003922572199855,2.1053020772569577,1.773699,1.779522,0.1259573219441006,-0.005823000000000134,True,True
2026-03-27,2026-03-28,1.8852921980822368,1.7657925802953611,1.8964681947108175,1.5056997236713041,2.1105835233614227,1.779522,1.755888,0.1294041980822369,0.023634000000000155,True,False
2026-03-28,2026-03-29,1.9381325982021806,1.7292951271241912,1.8695638498535248,1.4844984448487972,1.9464033790686215,1.755888,1.750444,0.18768859820218053,0.005443999999999782,True,False
2026-03-29,2026-03-30,1.9170673311486208,1.72432738061134,1.8642907556197934,1.4785122309080154,1.940921886531935,1.750444,1.722136,0.19493133114862093,0.028308000000000222,True,False
2026-03-30,2026-03-31,1.8813103433227136,1.6920359638491107,1.8299816346302848,1.449831880649326,1.912481333627806,1.722136,1.727206,0.1541043433227136,-0.00507000000000013,True,True
2026-03-31,2026-04-01,1.7741114173677581,1.7029597594863999,1.8320015558865956,1.6570506265242568,1.9128887859572388,1.727206,1.261309,0.5128024173677581,0.465897,True,False
2026-04-01,2026-04-02,1.3099511486192006,1.2334330726035234,1.3685643122654054,1.0437323595121337,1.4494120343661603,1.261309,1.280894,0.029057148619200612,-0.019584999999999964,True,True
2026-04-02,2026-04-03,1.3334345508761976,1.2504700416180006,1.3855208666518002,1.0609622805181795,1.46672710072121,1.280894,1.335893,-0.002458449123802442,-0.05499900000000002,True,True
2026-04-03,2026-04-04,1.3938657653126207,1.3059408404488975,1.4409299900179022,1.116582861160246,1.5224129785954874,1.335893,1.390179,0.003686765312620688,-0.054286000000000056,True,True
