,manheim
2020-08-31,178.626872198535
2020-09-30,175.806275281513
2020-10-31,176.626216245764
2020-11-30,176.757406800044
2020-12-31,175.707882365803
2021-01-31,177.861593965235
2021-02-28,184.596042418279
2021-03-31,195.430195692577
2021-04-30,211.654094238548
2021-05-31,221.493385809555
2021-06-30,218.618126161583
2021-07-31,212.987864873729
2021-08-31,212.146058817099
2021-09-30,223.373783754236
2021-10-31,244.003498414781
2021-11-30,253.602273969608
2021-12-31,257.66918115229
2022-01-31,257.723843883241
2022-02-28,252.279435880617
2022-03-31,243.850442768121
2022-04-30,241.346889690609
2022-05-31,242.97583907292
2022-06-30,239.870995954958
2022-07-31,239.586749754018
2022-08-31,230.009839291571
2022-09-30,223.133267738056
2022-10-31,218.158959221603
2022-11-30,217.557669181152
2022-12-31,219.306876571554
2023-01-31,224.8
2023-02-28,234.524980868044
2023-03-31,238.1
2023-04-30,230.818847709632
2023-05-31,224.499836011807
2023-06-30,215.141576473161
2023-07-31,211.730622061878
2023-08-31,212.222586640429
2023-09-30,214.3325680551
2023-10-31,209.434787361977
2023-11-30,205.007106155024
2023-12-31,203.968514266973
2024-01-31,204.045042090303
2024-02-29,203.837323712693
2024-03-31,203.050180387012
2024-04-30,198.436645894829
2024-05-31,197.310593637258
2024-06-30,196.064283371597
2024-07-31,201.607084289931
2024-08-31,203.935716628403
2024-09-30,202.962720017492
2024-10-31,202.820596917022
2024-11-30,205.389745271674
2024-12-31,204.755657592653
2025-01-31,205.630261287854
2025-02-28,204.099704821253
2025-03-31,202.634743631792
2025-04-30,208.166612003936
2025-05-31,205.214824532634
2025-06-30,208.472723297256
2025-07-31,207.368536132065
2025-08-31,207.434131409205
2025-09-30,207.029627200175
2025-10-31,202.875259647972
2025-11-30,205.433475456434
2025-12-31,205.542800918334
2026-01-31,210.484311796217
2026-02-28,212.266316825188
2026-03-31,215.283699573631
2026-04-30,211.927407893298
2026-05-31,212.616158303269
