date,value
2017-01-01,184.29999999999998
2017-02-01,184.26666666666668
2017-03-01,184.46666666666667
2017-04-01,184.70000000000002
2017-05-01,184.79999999999998
2017-06-01,185.03333333333333
2017-07-01,185.26666666666665
2017-08-01,185.29999999999998
2017-09-01,185.6
2017-10-01,186.76666666666665
2017-11-01,186.73333333333335
2017-12-01,186.70000000000002
2018-01-01,187.5
2018-02-01,187.70000000000002
2018-03-01,187.69999999999996
2018-04-01,189.0666666666667
2018-05-01,189.23333333333335
2018-06-01,189.36666666666667
2018-07-01,189.9
2018-08-01,190.16666666666666
2018-09-01,190.23333333333335
2018-10-01,191.5666666666667
2018-11-01,192.5666666666667
2018-12-01,192.79999999999998
2019-01-01,193.1
2019-02-01,193.13333333333333
2019-03-01,193.19999999999996
2019-04-01,193.26666666666665
2019-05-01,193.29999999999998
2019-06-01,193.43333333333337
2019-07-01,194.33333333333334
2019-08-01,194.63333333333333
2019-09-01,194.63333333333333
2019-10-01,196.0
2019-11-01,196.0333333333333
2019-12-01,196.16666666666666
2020-01-01,197.53333333333333
2020-02-01,197.86666666666667
2020-03-01,198.13333333333335
2020-04-01,198.46666666666667
2020-05-01,199.66666666666666
2020-06-01,199.96666666666667
2020-07-01,200.73333333333335
2020-08-01,201.53333333333333
2020-09-01,201.36666666666667
2020-10-01,202.4
2020-11-01,202.29999999999998
2020-12-01,202.20000000000002
2021-01-01,204.26666666666665
2021-02-01,205.29999999999998
2021-03-01,205.4
2021-04-01,204.73333333333335
2021-05-01,204.9333333333333
2021-06-01,204.9
2021-07-01,205.46400000000003
2021-08-01,205.84766666666667
2021-09-01,205.95633333333333
2021-10-01,206.534
2021-11-01,206.943
2021-12-01,207.09
2022-01-01,208.28666666666666
2022-02-01,208.13633333333334
2022-03-01,208.234
2022-04-01,208.01533333333336
2022-05-01,208.299
2022-06-01,209.09366666666668
2022-07-01,210.85500000000002
2022-08-01,211.68999999999997
2022-09-01,211.75566666666668
2022-10-01,213.24900000000002
2022-11-01,213.44066666666666
2022-12-01,213.814
2023-01-01,215.1453333333333
2023-02-01,215.82333333333335
2023-03-01,216.32500000000002
2023-04-01,216.42666666666665
2023-05-01,216.57533333333333
2023-06-01,216.45333333333335
2023-07-01,218.04599999999996
2023-08-01,218.42800000000003
2023-09-01,218.2513333333333
2023-10-01,220.05566666666664
2023-11-01,220.37400000000002
2023-12-01,221.3736666666667
2024-01-01,223.35866666666666
2024-02-01,223.44933333333333
2024-03-01,223.54100000000003
2024-04-01,222.75933333333333
2024-05-01,223.23233333333334
2024-06-01,223.24933333333334
2024-07-01,223.56033333333335
2024-08-01,224.29433333333336
2024-09-01,224.77200000000002
2024-10-01,226.66066666666666
2024-11-01,226.78566666666666
2024-12-01,227.59233333333336
2025-01-01,228.86599999999999
2025-02-01,229.29899999999998
2025-03-01,229.64433333333332
2025-04-01,229.96633333333332
2025-05-01,230.06233333333333
2025-06-01,230.3516666666667
2025-07-01,230.57966666666667
2025-08-01,230.85266666666666
2025-09-01,231.02466666666666
2025-10-01,233.4463333333333
2025-11-01,233.80533333333332
2025-12-01,233.44066666666666
2026-01-01,235.3836666666667
2026-02-01,235.44966666666664
2026-03-01,236.06733333333332
2026-04-01,236.13599999999997
2026-05-01,236.70166666666668
