origin,target,diesel_ret,h_static,h_rolling,basket_DBO,basket_HOUSD,basket_RBUSD,vol_ratio,multiplier,cost_shock,net_unhedged,net_static_DBO,net_rolling_DBO,net_basket,net_bvar_basket
2018-06-30,2018-07-31,0.0031046283862969926,0.30208374082439127,0.3602719777911012,0.39755161555049645,-0.07088207174075094,0.04591906215699354,0.9341387493437302,1.0,7708.851575455639,-7708.851575455639,-22735.254881912464,-25629.68380406273,-25069.07205328058,-25069.07205328058
2018-07-31,2018-08-31,0.0,0.30208374082439127,0.38560915400144435,0.43998773786038703,-0.08479777367128286,0.05349181314417111,0.9479504533509733,1.0,0.0,-0.0,26374.59906153436,33667.11099210662,22304.39950926564,22304.39950926564
2018-08-31,2018-09-30,0.013852768853229724,0.30208374082439127,0.39971498972886765,0.40246917288302175,0.04844878466108718,-0.08489058511015875,1.0107914879512963,1.0,34582.30006199599,-34582.30006199599,15187.430180630276,31272.641877115442,28300.337929333095,28300.337929333095
2018-09-30,2018-10-31,0.02535602186739827,0.30208374082439127,0.4015887168080578,0.40345842238831797,0.05234466416022229,-0.08120883081349828,1.0123546146517575,1.0,63665.54570467777,-63665.54570467777,-136445.95241386784,-160419.47909860723,-133566.5031247658,-133566.5031247658
2018-10-31,2018-11-30,-0.028417873616462863,0.30208374082439127,0.36113255382769466,0.3245542445584854,0.1367695391948022,-0.1389827168262716,1.0082766950800977,1.0,-69461.00347739663,69461.00347739663,-96075.88072435612,-128433.65176394705,-102039.54745838251,-102039.54745838251
2018-11-30,2018-12-31,-0.06754825898278227,0.30208374082439127,0.2947424654510079,0.25640494209364406,0.1692145805810582,-0.16075103182389633,1.0067358048977133,1.0,-161932.68935909242,161932.68935909242,82143.1218272631,84082.17748638525,85140.28619329397,85140.28619329397
2018-12-31,2019-01-31,-0.027608605374711104,0.30208374082439127,0.2861502539066415,0.2794384223922563,0.14317517531774487,-0.14939498613817057,1.0327806223819458,1.0,-67510.11592300968,67510.11592300968,195718.86611793478,188956.461632354,206446.39425003,206446.39425003
2019-01-31,2019-02-28,0.027608605374711104,0.30208374082439127,0.19310871624069842,0.09836041697005411,0.2534924771325513,-0.15949990196820055,1.102414290687436,1.5,69399.94378864551,-69399.94378864551,-37691.80919858519,-49130.34189493303,-118228.10893479957,-142642.19150787662
2019-02-28,2019-03-31,0.010443959161083205,0.30208374082439127,0.1795648121663716,0.02783763148841569,0.26253597425447256,-0.08178488302896797,1.1358864915304367,1.5,26027.99650043758,-26027.99650043758,-13715.065172106291,-18708.935914272068,-56073.7099469237,-71096.56667016677
2019-03-31,2019-04-30,0.028486483723300537,0.30208374082439127,0.16961115810740088,0.07753366648814103,0.1892413081594928,-0.07486113237612091,1.1758332428600968,1.5,71638.25757575722,-71638.25757575722,-42422.69756381988,-55234.577738974505,-56680.98167107912,-49202.34371874007
2019-04-30,2019-05-31,-0.005696217933646164,0.30208374082439127,0.16701674027611746,0.0752128245141048,0.18393241232395843,-0.06574250135271031,1.180818474947192,1.5,-14081.729252130115,14081.729252130115,-93592.08274844437,-45449.21089169445,-41885.3150986069,-69868.83727397541
2019-05-31,2019-06-30,-0.034875991860303435,0.30208374082439127,0.14357906028179532,0.08510846748679403,0.11087571598572785,-0.03911387492931104,1.2656818303209534,1.5,-84973.02443668652,84973.02443668652,140240.6179284217,111241.46614733314,109032.70115368902,121062.53951219027
2019-06-30,2019-07-31,-0.0029619899884936185,0.30208374082439127,0.12646575552062142,0.05677976395027184,0.12068257537119331,-0.03376802123758437,1.2303859071004342,1.5,-7332.402234637049,7332.402234637049,17029.52098993546,11392.04955764511,12247.142158176895,14704.51211994682
2019-07-31,2019-08-31,-0.016952375393728847,0.30208374082439127,0.11979340043795446,0.05504650251559899,0.12279644393760099,-0.03292698937047676,1.2362720874088025,1.5,-41673.533289386505,41673.533289386505,-11347.064288935937,20647.8479617809,26863.752228583166,19458.8616981815
2019-08-31,2019-09-30,0.027444274917010736,0.30208374082439127,0.12488440174776905,0.05220965876810407,0.12178856076301148,-0.02412546423724341,1.221210079643461,1.5,68981.17108056715,-68981.17108056715,-68188.66743951522,-68653.54224882134,-57500.17336986023,-51759.67451450677
2019-09-30,2019-10-31,-0.0006525285712775108,0.30208374082439127,0.1304690664834829,0.016318950549109052,0.17281345189248917,-0.023133243916547887,1.2180423580756357,1.5,-1617.1993911718562,1617.1993911718562,11117.190183482033,5720.2170739239955,-5103.637596125571,-8464.056089774283
2019-10-31,2019-11-30,0.0006525285712775108,0.30208374082439127,0.13710849259879873,0.030455366220997492,0.16292958357349796,-0.02167076209541091,1.2332719221262682,1.5,1618.2550043514116,-1618.2550043514116,19488.979235140243,7961.807337331504,622.4417157591765,1742.7900758144706
2019-11-30,2019-12-31,0.000977995187976699,0.30208374082439127,0.14451387822103806,0.03129116320562242,0.17446423868399777,-0.023770979043319727,1.2460870685703604,1.5,2425.799086757922,-2425.799086757922,59920.50258338606,27400.055898032442,34974.114384218585,53674.07111970684
2019-12-31,2020-01-31,-0.019411696876814766,0.30208374082439127,0.12684400388483524,0.03851186285149182,0.15024495191189333,-0.030966204710158828,1.2789477525487551,1.5,-47660.7472575215,47660.7472575215,-63939.66003977447,800.0904802454752,-32256.824919668572,-72215.6110082636
2020-01-31,2020-02-29,-0.04345558118345383,0.30208374082439127,0.13083183588845382,0.04430191216603694,0.12119142311928674,-0.01989277023233565,1.2613997380568591,1.5,-105426.35658914692,105426.35658914692,26245.816593326264,71133.43044217332,69747.57292542528,51908.181093564475
2020-02-29,2020-03-31,-0.10837221722766477,0.30208374082439127,0.14611389728334911,0.07193063352624723,0.12472957157203192,-0.04078610304637135,1.2156992805135218,1.5,-254626.41684015756,254626.41684015756,71086.67272936093,165850.67788369744,172355.88003650084,131220.61163467247
2020-03-31,2020-04-30,-0.05934450570659655,0.30208374082439127,0.2064417263083167,0.005436920059683745,0.14996802842636145,0.03500335580344079,1.0647790206779337,1.0,-142844.48311420478,142844.48311420478,70762.85096602459,93584.4450360817,66580.39887909469,66580.39887909469
2020-04-30,2020-05-31,-0.01947440869964978,0.30208374082439127,0.21950365735764935,-0.020973006220058456,0.19576804662517355,0.02549940407302342,1.034926357401295,1.0,-47813.226644781615,47813.226644781615,177589.27414695694,142112.63179120858,216958.88293370404,216958.88293370404
2020-05-31,2020-06-30,0.01659789140903778,0.30208374082439127,0.19247387075034644,0.023095683452051687,0.13386341017609843,0.01608870677862298,1.0285056036353841,1.0,41492.32914923302,-41492.32914923302,14964.411002915396,-5520.6900356024635,40785.45828915574,40785.45828915574
2020-06-30,2020-07-31,-0.0012353306079927462,0.30208374082439127,0.19083767132057006,0.031186766937424008,0.12276620904561085,0.015210947125174505,1.0414862548385775,1.0,-3060.6995884773246,3060.6995884773246,39488.65665140896,26073.611431676632,15942.848918885767,15942.848918885767
2020-07-31,2020-08-31,0.005751864666358575,0.30208374082439127,0.1866016359360523,0.03104655817249446,0.1201563912948423,0.015739137274238615,1.0463930587328027,1.0,14300.920203268419,-14300.920203268419,22480.763109933374,8419.67462250602,-14241.09600590271,-14241.09600590271
2020-08-31,2020-09-30,-0.01944218427504152,0.30208374082439127,0.18838180656801404,0.05777643025606074,0.10184093355466706,0.012778046360708797,1.0531687875209164,1.0,-47734.876416768784,47734.876416768784,-959.267978146825,17368.823396621363,26881.716940019982,26881.716940019982
2020-09-30,2020-10-31,-0.0037664827954769775,0.30208374082439127,0.17936067966580518,0.014204348080327785,0.11345296809921626,0.029704338290311355,1.1121585569003467,1.5,-9320.175438596834,9320.175438596834,-70883.61794265894,-38300.417624041496,-19502.94856936234,-33914.51057334192
2020-10-31,2020-11-30,0.047891287704414864,0.30208374082439127,0.1728027935918937,0.005839281294310669,0.11815077589637549,0.029810735350147072,1.11148436438984,1.5,121619.49685534587,-121619.49685534587,52194.32740988259,-22191.721245991415,-28879.651722182287,17490.270844399492
2020-11-30,2020-12-31,0.051792769948606265,0.30208374082439127,0.17646961919346432,-0.007162706140997354,0.13116341075432358,0.03128214908678378,1.1037614064629344,1.5,131786.23767652555,-131786.23767652555,-82552.825639512,-103025.33366343148,-93553.96482344372,-74437.8283969028
2020-12-31,2021-01-31,0.030277027703124237,0.30208374082439127,0.18558618682673123,-0.013124937341311272,0.14220860039205363,0.03284923345874987,1.070541235820094,1.0,76209.67741935543,-76209.67741935543,-19352.47669479624,-41279.260286289384,-40807.68332668958,-40807.68332668958
2021-01-31,2021-02-28,0.09041133431951076,0.30208374082439127,0.18036541878345197,-0.07243998622707784,0.18372688281887545,0.037008582588831926,1.1022038835440278,1.5,234589.77663230212,-234589.77663230212,-110733.77760355837,-160638.96063440107,-167895.63316488365,-134548.5614311744
2021-02-28,2021-03-31,0.06131688921752021,0.30208374082439127,0.20261031484733086,-0.039155910024340074,0.16971632151081886,0.04047161604672167,1.0267432603786766,1.0,156772.0596479429,-156772.0596479429,-160314.7083744984,-159148.14639767024,-175149.23652037684,-175149.23652037684
2021-03-31,2021-04-30,-0.011774201256041117,0.30208374082439127,0.20388533656456015,-0.012237548763719304,0.14486076277300267,0.04123272531049061,0.9970938534627438,1.0,-29019.034060951122,29019.034060951122,80275.63837383494,63613.6467765157,63396.94541598475,63396.94541598475
2021-04-30,2021-05-31,0.04107804368309287,0.30208374082439127,0.19489820138359742,-0.02134176629670078,0.14203063201558627,0.04379261966240046,1.0138788188842078,1.0,103959.93384549685,-103959.93384549685,-65314.80522802293,-79026.89362549403,-74477.87118456261,-74477.87118456261
2021-05-31,2021-06-30,0.01373019281190202,0.30208374082439127,0.19780703443801634,-0.021534695654266772,0.14615866820340184,0.04256100909378091,1.015056715473935,1.0,34274.19354838722,-34274.19354838722,33521.073511627255,10118.731040925857,-25360.571020001633,-25360.571020001633
2021-06-30,2021-07-31,0.0126469617007674,0.30208374082439127,0.20024911149297064,0.0013644383569703408,0.13338662721112793,0.03914600776843946,1.0152337738890658,1.0,31553.030303030228,-31553.030303030228,-20513.92799497591,-24235.289788975424,-16498.397132998154,-16498.397132998154
2021-07-31,2021-08-31,-0.0008980692116844491,0.30208374082439127,0.2008592827065577,-0.00045496556146683596,0.13528064568723197,0.039440988300806994,1.0106491398334478,1.0,-2225.463794135229,2225.463794135229,-29838.215628229384,-19094.080356548035,-16231.217626756845,-16231.217626756845
2021-08-31,2021-09-30,0.019867221278978997,0.30208374082439127,0.20073491915370098,-0.0009586193835045327,0.13672085910273443,0.03844170593818625,1.006834620500828,1.0,49746.68064290709,-49746.68064290709,22034.399944358673,-2048.0876331417094,-14142.649807112328,-14142.649807112328
2021-09-30,2021-10-31,0.08630159295444662,0.30208374082439127,0.2008462765039682,-0.0005787579854075995,0.1374687849712882,0.03787910122408166,1.0023379530869805,1.0,223459.82579761243,-223459.82579761243,-146493.97473935736,-172287.57613987324,-193572.050170713,-193572.050170713
