date,F_smoothed,y_rent_primary_log_std,lambda_rent_primary,y_owners_eq_rent_log_std,lambda_owners_eq_rent,y_electricity_log_std,lambda_electricity,y_utility_gas_log_std,lambda_utility_gas
2013-03-31,-1.1314017,-1.0340310842066427,0.035901897,-1.0229317893442678,-0.0060090367,-0.8798037043219897,-0.13029684,-0.6947412373780966,0.24661118
2013-04-30,-1.1076732,-1.0235941980956427,0.028339293,-1.0102060043623011,-0.012649305,-0.8590087475231246,-0.12455561,-0.4719189676675704,0.41015214
2013-05-31,-1.0825622,-1.0077525565584489,0.022232492,-0.9985770919606759,-0.020045538,-0.8081056116273744,-0.102139935,-0.3095544781116875,0.5278182
2013-06-30,-1.0699714,-0.9948491348544756,0.021361237,-0.9862653265360986,-0.021368278,-0.7967722841126739,-0.09159501,-0.37553850036209774,0.4720177
2013-07-31,-1.0596468,-0.9860030037857204,0.02183158,-0.9772916964550329,-0.021244492,-0.7637433519243252,-0.07425161,-0.502507643419155,0.3496184
2013-08-31,-1.0497603,-0.9656399352418792,0.026691193,-0.9624175424732414,-0.018773792,-0.7680203161084511,-0.07123681,-0.6390134172767693,0.22655036
2013-09-30,-1.0310113,-0.9556012556964925,0.023156824,-0.950788198962023,-0.02081607,-0.716666513704804,-0.048752904,-0.6161834233566025,0.21398853
2013-10-31,-1.016397,-0.944972987906205,0.020062502,-0.9374213012740757,-0.021057794,-0.715839237334157,-0.046471566,-0.6073213219813606,0.20383513
2013-11-30,-1.002016,-0.9331523659098646,0.017613158,-0.9219007377173251,-0.020397294,-0.6982245468072045,-0.0373282,-0.6538406960594574,0.15738297
2013-12-31,-0.9844175,-0.9157697708205758,0.014407605,-0.9050505084178349,-0.022604404,-0.673617246953737,-0.01863421,-0.6957717592421329,0.13559139
2014-01-31,-0.95123756,-0.9012453437022131,0.0020921193,-0.8922527701075061,-0.034161627,-0.5788922967887179,0.024095308,-0.45439479197248256,0.32040083
2014-02-28,-0.9264313,-0.8899720155521408,-0.009922005,-0.8788560508664951,-0.044562787,-0.5996761429764189,0.018559461,-0.2069487733064027,0.5570908
2014-03-31,-0.8853758,-0.8717497880494938,-0.021543626,-0.8639059234941645,-0.057161413,-0.48949065432876565,0.041578867,0.2508995891090039,0.8996698
2014-04-30,-0.8880985,-0.8528855238305739,-0.0138412025,-0.850948844334637,-0.053730816,-0.7039288993530105,-0.053347915,0.2308170973579942,0.91843945
2014-05-31,-0.8638075,-0.8372886082319907,-0.015676282,-0.8380856024990141,-0.05797656,-0.5367593498267469,0.01792785,0.12070895341752509,0.8086396
2014-06-30,-0.8472143,-0.8207511131407355,-0.0151698645,-0.8263123631432012,-0.060586177,-0.48066261136737126,0.062634535,-0.01807515139638801,0.6736148
2014-07-31,-0.8304641,-0.8034856516949451,-0.0128858695,-0.812152301385786,-0.06055394,-0.45282287517813397,0.08129497,-0.04530594667687431,0.6015641
2014-08-31,-0.8248803,-0.7901023913236176,-0.006774838,-0.7997007322612707,-0.055969194,-0.45122472530893726,0.079044834,-0.2645705845466548,0.42447233
2014-09-30,-0.8139595,-0.7732145978333973,-0.0007749237,-0.7868561556939079,-0.052282173,-0.4850388746643245,0.055327494,-0.25220804699306804,0.3866899
2014-10-31,-0.8048969,-0.7600649036913665,0.0042516757,-0.7730720704905308,-0.047980387,-0.4721725396025075,0.05138489,-0.3897231499577718,0.26765695
2014-11-30,-0.79403037,-0.7406197486119555,0.009526961,-0.7586834595402078,-0.04550395,-0.4934337459999483,0.04046473,-0.45563478133033963,0.20191675
2014-12-31,-0.7715173,-0.7280091305062835,0.0070876386,-0.7477828465184244,-0.04897628,-0.4369289423131246,0.064833716,-0.35775651315623785,0.23553005
2015-01-31,-0.7579092,-0.7111046663207597,0.0102609135,-0.7322533520059533,-0.046791308,-0.40805647107244863,0.08293876,-0.4811618204129006,0.124020025
2015-02-28,-0.7458561,-0.6920873133010099,0.017454406,-0.7157186406054794,-0.04102,-0.3785375435817299,0.0909741,-0.6167649802032708,-0.013459224
2015-03-31,-0.7413355,-0.6743913477129941,0.028148307,-0.6997707492058697,-0.03122567,-0.43620398299727464,0.056025714,-0.7309841329135639,-0.1381543
